label,uptime_s,rss_mb,footprint_mb,cpu_s,wakeups,idle_wakeups
C,-0.0,40.89,11.24,0.002,77,0
C,5.0,40.81,11.17,0.002,79,0
C,10.0,40.81,11.17,0.002,80,0
C,15.0,40.77,11.13,0.002,82,0
C,20.0,40.77,11.13,0.002,83,0
C,25.0,37.45,11.08,0.002,85,0
C,30.0,35.06,11.08,0.002,86,0
C,35.0,35.06,11.08,0.002,87,0
C,40.0,35.06,11.08,0.002,88,0
C,45.0,35.11,11.08,0.002,89,0
C,50.0,35.11,11.08,0.002,90,0
C,55.0,35.11,11.08,0.002,91,0
C,60.0,35.11,11.08,0.002,92,0
C,65.0,35.08,11.08,0.002,93,0
C,70.0,35.08,11.08,0.002,94,0
C,75.0,35.08,11.08,0.002,95,0
C,80.0,35.08,11.08,0.002,96,0
C,84.5,34.27,11.08,0.002,97,0
