label,uptime_s,rss_mb,footprint_mb,cpu_s,wakeups,idle_wakeups
A,-0.0,41.19,11.06,0.002,107,0
A,5.0,41.12,10.98,0.002,108,0
A,10.0,38.28,10.98,0.002,109,0
A,15.0,33.98,10.98,0.002,110,0
A,20.0,34.05,10.98,0.002,111,0
A,25.0,34.06,10.98,0.002,112,0
A,30.0,34.03,10.98,0.002,113,0
A,35.0,34.03,10.98,0.002,114,0
A,40.0,33.52,10.98,0.002,115,0
A,45.0,33.53,10.98,0.002,116,0
A,50.0,33.53,10.98,0.002,117,0
A,55.0,33.02,10.98,0.002,118,0
A,60.0,33.03,10.98,0.002,119,0
A,65.0,32.95,10.98,0.002,120,0
A,70.0,32.94,10.98,0.002,121,0
A,75.0,32.94,10.98,0.002,122,0
A,80.0,32.94,10.98,0.002,123,0
A,85.0,32.94,10.98,0.002,124,0
A,90.0,31.47,10.98,0.002,125,0
A,94.5,32.72,10.98,0.002,126,0
