label,uptime_s,rss_mb,footprint_mb,cpu_s,wakeups,idle_wakeups
B,-0.0,54.58,19.74,0.006,43,4
B,5.0,50.12,19.49,0.011,65,6
B,10.0,50.22,17.13,0.015,93,8
B,15.0,48.56,17.14,0.020,130,11
B,19.9,48.56,17.14,0.025,166,11
B,25.0,49.23,17.20,0.029,195,11
B,29.7,61.83,23.69,0.035,395,26
B,35.0,61.58,23.69,0.038,419,27
B,40.0,61.55,21.64,0.042,456,32
B,45.0,61.55,21.64,0.045,492,34
B,50.0,61.55,21.64,0.049,528,35
B,54.9,57.52,21.66,0.053,551,35
B,60.0,55.52,21.66,0.058,571,36
B,65.0,57.25,21.94,0.063,595,36
B,70.0,57.22,21.89,0.067,632,37
B,75.0,57.20,21.67,0.072,660,38
B,80.0,57.20,21.67,0.077,680,39
B,85.0,57.23,21.69,0.082,700,39
B,90.0,57.23,21.69,0.086,721,39
B,94.7,55.27,21.69,0.091,742,41
